Date,Name,adj
2015/1/1,カップ麺,-3
2015/2/1,カップ麺,-3
2015/3/1,カップ麺,-3
1989/4/1,中華麺,-3
1989/5/1,中華麺,-3
1989/6/1,中華麺,-3
1989/7/1,中華麺,-3
1989/8/1,中華麺,-3
1989/9/1,中華麺,-3
1989/10/1,中華麺,-3
1989/11/1,中華麺,-3
1989/12/1,中華麺,-3
1990/1/1,中華麺,-3
1990/2/1,中華麺,-3
1990/3/1,中華麺,-3
1997/4/1,中華麺,-2
1997/5/1,中華麺,-2
1997/6/1,中華麺,-2
1997/7/1,中華麺,-2
1997/8/1,中華麺,-2
1997/9/1,中華麺,-2
1997/10/1,中華麺,-2
1997/11/1,中華麺,-2
1997/12/1,中華麺,-2
1998/1/1,中華麺,-2
1998/2/1,中華麺,-2
1998/3/1,中華麺,-2
2014/4/1,中華麺,-3
2014/5/1,中華麺,-3
2014/6/1,中華麺,-3
2014/7/1,中華麺,-3
2014/8/1,中華麺,-3
2014/9/1,中華麺,-3
2014/10/1,中華麺,-3
2014/11/1,中華麺,-3
2014/12/1,中華麺,-3
2015/1/1,中華麺,-3
2015/2/1,中華麺,-3
2015/3/1,中華麺,-3
1989/4/1,小麦粉,-3
1989/5/1,小麦粉,-3
1989/6/1,小麦粉,-3
1989/7/1,小麦粉,-3
1989/8/1,小麦粉,-3
1989/9/1,小麦粉,-3
1989/10/1,小麦粉,-3
1989/11/1,小麦粉,-3
1989/12/1,小麦粉,-3
1990/1/1,小麦粉,-3
1990/2/1,小麦粉,-3
1990/3/1,小麦粉,-3
1997/4/1,小麦粉,-2
1997/5/1,小麦粉,-2
1997/6/1,小麦粉,-2
1997/7/1,小麦粉,-2
1997/8/1,小麦粉,-2
1997/9/1,小麦粉,-2
1997/10/1,小麦粉,-2
1997/11/1,小麦粉,-2
1997/12/1,小麦粉,-2
1998/1/1,小麦粉,-2
1998/2/1,小麦粉,-2
1998/3/1,小麦粉,-2
2014/4/1,小麦粉,-3
2014/5/1,小麦粉,-3
2014/6/1,小麦粉,-3
2014/7/1,小麦粉,-3
2014/8/1,小麦粉,-3
2014/9/1,小麦粉,-3
2014/10/1,小麦粉,-3
2014/11/1,小麦粉,-3
2014/12/1,小麦粉,-3
2015/1/1,小麦粉,-3
2015/2/1,小麦粉,-3
2015/3/1,小麦粉,-3
1989/4/1,もち,-3
1989/5/1,もち,-3
1989/6/1,もち,-3
1989/7/1,もち,-3
1989/8/1,もち,-3
1989/9/1,もち,-3
1989/10/1,もち,-3
1989/11/1,もち,-3
1989/12/1,もち,-3
1990/1/1,もち,-3
1990/2/1,もち,-3
1990/3/1,もち,-3
1997/4/1,もち,-2
1997/5/1,もち,-2
1997/6/1,もち,-2
1997/7/1,もち,-2
1997/8/1,もち,-2
1997/9/1,もち,-2
1997/10/1,もち,-2
1997/11/1,もち,-2
1997/12/1,もち,-2
1998/1/1,もち,-2
1998/2/1,もち,-2
1998/3/1,もち,-2
2014/4/1,もち,-3
2014/5/1,もち,-3
2014/6/1,もち,-3
2014/7/1,もち,-3
2014/8/1,もち,-3
2014/9/1,もち,-3
2014/10/1,もち,-3
2014/11/1,もち,-3
2014/12/1,もち,-3
2015/1/1,もち,-3
2015/2/1,もち,-3
2015/3/1,もち,-3
1989/4/1,まぐろ,-3
1989/5/1,まぐろ,-3
1989/6/1,まぐろ,-3
1989/7/1,まぐろ,-3
1989/8/1,まぐろ,-3
1989/9/1,まぐろ,-3
1989/10/1,まぐろ,-3
1989/11/1,まぐろ,-3
1989/12/1,まぐろ,-3
1990/1/1,まぐろ,-3
1990/2/1,まぐろ,-3
1990/3/1,まぐろ,-3
1997/4/1,まぐろ,-2
1997/5/1,まぐろ,-2
1997/6/1,まぐろ,-2
1997/7/1,まぐろ,-2
1997/8/1,まぐろ,-2
1997/9/1,まぐろ,-2
1997/10/1,まぐろ,-2
1997/11/1,まぐろ,-2
1997/12/1,まぐろ,-2
1998/1/1,まぐろ,-2
1998/2/1,まぐろ,-2
1998/3/1,まぐろ,-2
2014/4/1,まぐろ,-3
2014/5/1,まぐろ,-3
2014/6/1,まぐろ,-3
2014/7/1,まぐろ,-3
2014/8/1,まぐろ,-3
2014/9/1,まぐろ,-3
2014/10/1,まぐろ,-3
2014/11/1,まぐろ,-3
2014/12/1,まぐろ,-3
2015/1/1,まぐろ,-3
2015/2/1,まぐろ,-3
2015/3/1,まぐろ,-3
1989/4/1,あじ,-3
1989/5/1,あじ,-3
1989/6/1,あじ,-3
1989/7/1,あじ,-3
1989/8/1,あじ,-3
1989/9/1,あじ,-3
1989/10/1,あじ,-3
1989/11/1,あじ,-3
1989/12/1,あじ,-3
1990/1/1,あじ,-3
1990/2/1,あじ,-3
1990/3/1,あじ,-3
1997/4/1,あじ,-2
1997/5/1,あじ,-2
1997/6/1,あじ,-2
1997/7/1,あじ,-2
1997/8/1,あじ,-2
1997/9/1,あじ,-2
1997/10/1,あじ,-2
1997/11/1,あじ,-2
1997/12/1,あじ,-2
1998/1/1,あじ,-2
1998/2/1,あじ,-2
1998/3/1,あじ,-2
2014/4/1,あじ,-3
2014/5/1,あじ,-3
2014/6/1,あじ,-3
2014/7/1,あじ,-3
2014/8/1,あじ,-3
2014/9/1,あじ,-3
2014/10/1,あじ,-3
2014/11/1,あじ,-3
2014/12/1,あじ,-3
2015/1/1,あじ,-3
2015/2/1,あじ,-3
2015/3/1,あじ,-3
1989/4/1,いわし,-3
1989/5/1,いわし,-3
1989/6/1,いわし,-3
1989/7/1,いわし,-3
1989/8/1,いわし,-3
1989/9/1,いわし,-3
1989/10/1,いわし,-3
1989/11/1,いわし,-3
1989/12/1,いわし,-3
1990/1/1,いわし,-3
1990/2/1,いわし,-3
1990/3/1,いわし,-3
1997/4/1,いわし,-2
1997/5/1,いわし,-2
1997/6/1,いわし,-2
1997/7/1,いわし,-2
1997/8/1,いわし,-2
1997/9/1,いわし,-2
1997/10/1,いわし,-2
1997/11/1,いわし,-2
1997/12/1,いわし,-2
1998/1/1,いわし,-2
1998/2/1,いわし,-2
1998/3/1,いわし,-2
2014/4/1,いわし,-3
2014/5/1,いわし,-3
2014/6/1,いわし,-3
2014/7/1,いわし,-3
2014/8/1,いわし,-3
2014/9/1,いわし,-3
2014/10/1,いわし,-3
2014/11/1,いわし,-3
2014/12/1,いわし,-3
2015/1/1,いわし,-3
2015/2/1,いわし,-3
2015/3/1,いわし,-3
1989/4/1,かつお,-3
1989/5/1,かつお,-3
1989/6/1,かつお,-3
1989/7/1,かつお,-3
1989/8/1,かつお,-3
1989/9/1,かつお,-3
1989/10/1,かつお,-3
1990/3/1,かつお,-3
1997/4/1,かつお,-2
1997/5/1,かつお,-2
1997/6/1,かつお,-2
1997/7/1,かつお,-2
1997/8/1,かつお,-2
1997/9/1,かつお,-2
1997/10/1,かつお,-2
1998/3/1,かつお,-2
2014/4/1,かつお,-3
2014/5/1,かつお,-3
2014/6/1,かつお,-3
2014/7/1,かつお,-3
2014/8/1,かつお,-3
2014/9/1,かつお,-3
2014/10/1,かつお,-3
2015/3/1,かつお,-3
1989/4/1,かれい,-3
1989/5/1,かれい,-3
1989/6/1,かれい,-3
1989/7/1,かれい,-3
1989/8/1,かれい,-3
1989/9/1,かれい,-3
1989/10/1,かれい,-3
1989/11/1,かれい,-3
1989/12/1,かれい,-3
1990/1/1,かれい,-3
1990/2/1,かれい,-3
1990/3/1,かれい,-3
1997/4/1,かれい,-2
1997/5/1,かれい,-2
1997/6/1,かれい,-2
1997/7/1,かれい,-2
1997/8/1,かれい,-2
1997/9/1,かれい,-2
1997/10/1,かれい,-2
1997/11/1,かれい,-2
1997/12/1,かれい,-2
1998/1/1,かれい,-2
1998/2/1,かれい,-2
1998/3/1,かれい,-2
2014/4/1,かれい,-3
2014/5/1,かれい,-3
2014/6/1,かれい,-3
2014/7/1,かれい,-3
2014/8/1,かれい,-3
2014/9/1,かれい,-3
2014/10/1,かれい,-3
2014/11/1,かれい,-3
2014/12/1,かれい,-3
2015/1/1,かれい,-3
2015/2/1,かれい,-3
2015/3/1,かれい,-3
1989/4/1,さけ,-3
1989/5/1,さけ,-3
1989/6/1,さけ,-3
1989/7/1,さけ,-3
1989/8/1,さけ,-3
1989/9/1,さけ,-3
1989/10/1,さけ,-3
1989/11/1,さけ,-3
1989/12/1,さけ,-3
1990/1/1,さけ,-3
1990/2/1,さけ,-3
1990/3/1,さけ,-3
1997/4/1,さけ,-2
1997/5/1,さけ,-2
1997/6/1,さけ,-2
1997/7/1,さけ,-2
1997/8/1,さけ,-2
1997/9/1,さけ,-2
1997/10/1,さけ,-2
1997/11/1,さけ,-2
1997/12/1,さけ,-2
1998/1/1,さけ,-2
1998/2/1,さけ,-2
1998/3/1,さけ,-2
2014/4/1,さけ,-3
2014/5/1,さけ,-3
2014/6/1,さけ,-3
2014/7/1,さけ,-3
2014/8/1,さけ,-3
2014/9/1,さけ,-3
2014/10/1,さけ,-3
2014/11/1,さけ,-3
2014/12/1,さけ,-3
2015/1/1,さけ,-3
2015/2/1,さけ,-3
2015/3/1,さけ,-3
1989/4/1,さば,-3
1989/5/1,さば,-3
1989/6/1,さば,-3
1989/7/1,さば,-3
1989/8/1,さば,-3
1989/9/1,さば,-3
1989/10/1,さば,-3
1989/11/1,さば,-3
1989/12/1,さば,-3
1990/1/1,さば,-3
1990/2/1,さば,-3
1990/3/1,さば,-3
1997/4/1,さば,-2
1997/5/1,さば,-2
1997/6/1,さば,-2
1997/7/1,さば,-2
1997/8/1,さば,-2
1997/9/1,さば,-2
1997/10/1,さば,-2
1997/11/1,さば,-2
1997/12/1,さば,-2
1998/1/1,さば,-2
1998/2/1,さば,-2
1998/3/1,さば,-2
2014/4/1,さば,-3
2014/5/1,さば,-3
